City,Category,Sub-Category,Product,SKU ID,Image,Brand,SKU Name,SKU Size,MRP,Selling Price,Item Link,In Stock,Out of Stock,Rating,Price
,"FOODGRAINS, OIL & MASALA","ATTA, FLOURS & SOOJI",ATTA WHOLE WHEAT,126906,https://www.bigbasket.com/media/uploads/p/l/126906_8-aashirvaad-atta-whole-wheat.jpg,Aashirvaad,Aashirvaad Atta/Godihittu,10 kg,Rs 576,Rs 480,https://www.bigbasket.com/pd/126906/aashirvaad-atta-whole-wheat-10-kg-pouch/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.1,₹436.79
,"FOODGRAINS, OIL & MASALA","ATTA, FLOURS & SOOJI",ATTA WHOLE WHEAT,1220743,https://www.bigbasket.com/media/uploads/p/l/1220743_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,Aashirvaad,Aashirvaad Atta,Combo 2 Items,Rs 346,Rs 324.80,https://www.bigbasket.com/pd/1220743/aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg-combo-pouch/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,3.9,₹265.34
,"FOODGRAINS, OIL & MASALA","ATTA, FLOURS & SOOJI",ATTA WHOLE WHEAT,1220742,https://www.bigbasket.com/media/uploads/p/l/1220742_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,Aashirvaad,Aashirvaad Atta,Combo 2 Items,Rs 604,Rs 503.80,https://www.bigbasket.com/pd/1220742/aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg-combo-pouch/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.1,₹456.54
,"FOODGRAINS, OIL & MASALA","ATTA, FLOURS & SOOJI",ATTA WHOLE WHEAT,40236231,https://www.bigbasket.com/media/uploads/p/l/40236231_2-aashirvaad-select-sharbati-atta-100-mp-whole-wheat-rotis-stay-softer-for-longer.jpg,Aashirvaad,Aashirvaad Select Sharbati Atta,10 kg,Rs 680,Rs 584.80,https://www.bigbasket.com/pd/40236231/aashirvaad-select-sharbati-atta-100-mp-whole-wheat-rotis-stay-softer-for-longer-10-kg/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.1,₹571.2
,"FOODGRAINS, OIL & MASALA","ATTA, FLOURS & SOOJI",ATTA WHOLE WHEAT,40236230,https://www.bigbasket.com/media/uploads/p/l/40236230_3-aashirvaad-atta-with-multigrains-high-fibre-soft-rotis.jpg,Aashirvaad,Aashirvaad Atta with Multigrains,10 kg,Rs 720,Rs 619.20,https://www.bigbasket.com/pd/40236230/aashirvaad-atta-with-multigrains-high-fibre-soft-rotis-10-kg/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.1,₹546
,"FOODGRAINS, OIL & MASALA","ATTA, FLOURS & SOOJI",ATTA WHOLE WHEAT,40189429,https://www.bigbasket.com/media/uploads/p/l/40189429_4-bb-royal-superior-mp-sharbati-atta-fortified.jpg,BB Royal,BB Royal Atta Sharbati MP Whole Wheat,10 kg Pouch,Rs 650,Rs 505,https://www.bigbasket.com/pd/40189429/bb-royal-superior-mp-sharbati-atta-fortified-10-kg-pouch/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,3.9,₹510
,"FOODGRAINS, OIL & MASALA","ATTA, FLOURS & SOOJI",ATTA WHOLE WHEAT,124656,https://www.bigbasket.com/media/uploads/p/l/124656_3-pillsbury-atta-chakki-fresh.jpg,Pillsbury,Pillsbury Atta/Godihittu,5 kg Pouch,Rs 318,Rs 278,https://www.bigbasket.com/pd/124656/pillsbury-atta-chakki-fresh-5-kg-pouch/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4,₹205.11
,"FOODGRAINS, OIL & MASALA","SALT, SUGAR & JAGGERY",SUGAR & JAGGERY,1221835,https://www.bigbasket.com/media/uploads/p/l/1221835_1-madhur-sugar-pure-hygienic-1-kg-bb-royal-atta-with-9-multigrain-10-kg.jpg,Madhur,Madhur Sugar,Combo 2 Items,Rs 710,Rs 543,https://www.bigbasket.com/pd/1221835/madhur-sugar-pure-hygienic-1-kg-bb-royal-atta-with-9-multigrain-10-kg-combo/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.1,₹581.04
,"FOODGRAINS, OIL & MASALA","ATTA, FLOURS & SOOJI",ATTA WHOLE WHEAT,1221404,https://www.bigbasket.com/media/uploads/p/l/1221404_1-pillsbury-atta-gold-5-kg-pouch-madhur-sugar-natural-sulphur-free-5-kg.jpg,Pillsbury,Pillsbury Atta,Combo 2 Items,Rs 635,Rs 545,https://www.bigbasket.com/pd/1221404/pillsbury-atta-gold-5-kg-pouch-madhur-sugar-natural-sulphur-free-5-kg-combo/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.1,₹535
,"FOODGRAINS, OIL & MASALA","ATTA, FLOURS & SOOJI",ATTA WHOLE WHEAT,1221406,https://www.bigbasket.com/media/uploads/p/l/1221406_1-pillsbury-atta-multigrain-5-kg-pouch-madhur-sugar-natural-sulphur-free-5-kg.jpg,Pillsbury,Pillsbury Atta,Combo 2 Items,Rs 662,Rs 544,https://www.bigbasket.com/pd/1221406/pillsbury-atta-multigrain-5-kg-pouch-madhur-sugar-natural-sulphur-free-5-kg-combo/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹560
,"FOODGRAINS, OIL & MASALA","ATTA, FLOURS & SOOJI",RICE & OTHER FLOURS,10000458,https://www.bigbasket.com/media/uploads/p/l/10000458_11-bb-royal-rice-flour.jpg,BB Royal,"BB Royal Rice Flour, 1 kg Pouch",1 kg Pouch,Rs 60,Rs 43,https://www.bigbasket.com/pd/10000458/bb-royal-rice-flour-1-kg-pouch/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4,₹56
,"FOODGRAINS, OIL & MASALA","ATTA, FLOURS & SOOJI","SOOJI, MAIDA & BESAN",1204249,https://www.bigbasket.com/media/uploads/p/l/1204249_1-bb-royal-maida-1-kg-besan-flour-1-kg-rice-flour-1-kg.jpg,BB Royal,BB Royal Maida 1 Kg + Besan Flour 1 Kg + Rice,Combo 3 Items,Rs 275,Rs 173,https://www.bigbasket.com/pd/1204249/bb-royal-maida-1-kg-besan-flour-1-kg-rice-flour-1-kg-combo/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.1,₹223.11
